Source	Target	Type	id	Weight
1	2	Undirected	1	0
1	3	Undirected	2	0
1	4	Undirected	3	0
1	5	Undirected	4	0
1	6	Undirected	5	0
1	7	Undirected	6	0
1	8	Undirected	7	0.0679028
1	9	Undirected	8	0
1	10	Undirected	9	0.000698553
2	3	Undirected	10	0
2	4	Undirected	11	0
2	5	Undirected	12	0
2	6	Undirected	13	0
2	7	Undirected	14	0.119523
2	8	Undirected	15	0.0868816
2	9	Undirected	16	0
2	10	Undirected	17	0.0996231
3	4	Undirected	18	0
3	5	Undirected	19	0
3	6	Undirected	20	0
3	7	Undirected	21	0
3	8	Undirected	22	0.235594
3	9	Undirected	23	0
3	10	Undirected	24	0.000643592
4	5	Undirected	25	0
4	6	Undirected	26	0
4	7	Undirected	27	0
4	8	Undirected	28	0.188982
4	9	Undirected	29	0
4	10	Undirected	30	0.00474076
5	6	Undirected	31	0.0094409
5	7	Undirected	32	0
5	8	Undirected	33	0.00896413
5	9	Undirected	34	0
5	10	Undirected	35	0.0201958
6	7	Undirected	36	0.0184836
6	8	Undirected	37	0.0633277
6	9	Undirected	38	0
6	10	Undirected	39	0.0712106
7	8	Undirected	40	0.0404243
7	9	Undirected	41	0
7	10	Undirected	42	0.0602655
8	9	Undirected	43	0.00872923
8	10	Undirected	44	0.184654
9	10	Undirected	45	0.0767927
